Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,class
0,4,1,2,own,,little,1169,6,radio/TV,1
1,1,0,2,own,little,moderate,5951,48,radio/TV,2
2,3,1,1,own,little,,2096,12,education,1
3,2,1,2,free,little,little,7882,42,furniture/equipment,1
4,3,1,2,free,little,little,4870,24,car,2
5,2,1,1,free,,,9055,36,education,1
6,3,1,2,own,quite rich,,2835,24,furniture/equipment,1
7,2,1,3,rent,little,moderate,6948,36,car,1
8,3,1,1,own,rich,,3059,12,radio/TV,1
9,1,1,3,own,little,moderate,5234,30,car,2
10,1,0,2,rent,little,moderate,1295,12,car,2
11,1,0,2,rent,little,little,4308,48,business,2
12,1,0,2,own,little,moderate,1567,12,radio/TV,1
13,3,1,1,own,little,little,1199,24,car,2
14,1,0,2,rent,little,little,1403,15,car,1
15,1,0,1,own,moderate,little,1282,24,radio/TV,2
16,3,1,2,own,,,2424,24,radio/TV,1
17,1,1,2,own,,little,8072,30,business,1
18,2,0,3,free,little,moderate,12579,24,car,2
19,1,1,2,own,quite rich,,3430,24,radio/TV,1
20,3,1,2,own,little,,2134,9,car,1
21,2,1,2,rent,quite rich,little,2647,6,radio/TV,1
22,3,1,1,rent,little,little,2241,10,car,1
23,2,1,2,own,moderate,moderate,1804,12,car,1
24,1,1,2,own,,,2069,10,furniture/equipment,1
25,2,1,1,own,little,little,1374,6,furniture/equipment,1
26,2,1,1,own,little,,426,6,radio/TV,1
27,2,0,2,rent,rich,rich,409,12,radio/TV,1
28,2,1,2,own,little,moderate,2415,7,radio/TV,1
29,4,1,2,own,little,little,6836,60,business,2
30,2,1,2,own,rich,moderate,1913,18,business,1
31,1,1,2,own,little,little,4020,24,furniture/equipment,1
32,1,1,2,own,moderate,moderate,5866,18,car,1
33,3,1,1,rent,,,1264,12,business,1
34,2,0,3,own,little,rich,1474,12,furniture/equipment,1
35,1,1,1,own,little,moderate,4746,45,radio/TV,2
36,1,1,2,free,little,,6110,48,education,1
37,2,1,2,own,little,rich,2100,18,radio/TV,2
38,2,1,2,own,little,rich,1225,10,domestic appliances,1
39,1,1,2,own,little,moderate,458,9,radio/TV,1
40,1,1,3,own,quite rich,,2333,30,radio/TV,1
41,1,1,2,own,quite rich,moderate,1158,12,radio/TV,1
42,2,1,1,own,little,moderate,6204,18,repairs,1
43,1,1,2,rent,moderate,little,6187,30,car,1
44,3,0,1,free,little,little,6143,48,car,2
45,2,0,3,own,little,,1393,11,car,1
46,2,1,2,own,quite rich,,2299,36,radio/TV,1
47,1,0,0,rent,quite rich,little,1352,6,car,1
